Seed,T1,D1,Ratio1,T2,D2,Ratio2,H,m,Original_m,Percentage_m,Command
47892,100,123.514314,1.235143,155,163.843142,1.057053,3100,1,54,0.053571,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
6655,89,94.477904,1.061549,178,156.67961,0.880223,178,2,5,0.571429,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
9370,74,64.683957,0.874108,10,9.356604,0.93566,370,3,50,0.096154,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
14800,26,20.777885,0.799149,11,11.508614,1.046238,286,4,40,0.142857,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
41018,33,42.742912,1.29524,1986,1597.003544,0.804131,21846,5,723,0.009655,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
18786,190,192.61396,1.013758,2062,1478.628395,0.717085,195890,6,1135,0.007036,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
55525,824,821.907941,0.997461,219,215.628885,0.984607,180456,7,1048,0.008571,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
77199,3534,3734.818093,1.056825,1068,750.590134,0.7028,629052,8,772,0.01292,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
95053,4696,3495.267783,0.744307,6656,7518.020446,1.12951,3907072,9,1422,0.007725,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
30525,2089,2471.464898,1.183085,11675,10114.652925,0.866351,24389075,10,13770,0.000871,/home/jannethestefaniahoyosrea/UniTO/ricerca/edf_hull/edf_hull --rand-seed=1 --num=2 --period-min=2 --period-max=100000 --num-repeat=100000 -s --eps 1e-9 --relative-dl-var=0.3 --relative-dl-avg=1 -v
